,Age,Foward,Midfielder,Defender,Goals,Assists,npxG+xA,Passes Completed,Key Passes,Passes into Final Third,Live-ball passes,Through Balls,Ground passes,Shot-Creating Actions,Goal-Creating Actions,Tackles Won,Dribblers Tackled,% of dribblers tackled,Successful Pressures,Successful Pressure %,Blocks,Dribbles Completed,Progressive Carries,Dispossessed,Ball Recoveries,Market value
322,36,1,0,0,0.75,0.11,0.68,26.03,1.05,1.58,30.53,0.09,24.78,3.38,0.48,0.09,0.11,0.25,1.71,0.266,0.37,1.51,6.99,1.39,4.0,45.0
323,22,1,0,0,0.24,0.08,0.2,19.45,1.5,1.26,28.03,0.08,17.4,2.6,0.24,0.32,0.16,0.083,3.7,0.184,1.18,2.05,5.12,1.97,6.06,9.0
324,20,0,1,0,0.13,0.39,0.28,62.41,0.98,6.52,66.78,0.2,58.96,2.87,0.52,1.11,0.46,0.318,6.07,0.313,1.11,1.3,9.85,2.35,8.41,30.0
325,25,0,1,0,0.18,0.25,0.39,28.4,1.29,3.01,34.28,0.15,26.86,3.19,0.52,1.17,0.83,0.375,5.21,0.27899999999999997,1.2,1.47,4.75,1.26,6.87,25.0
326,31,0,0,1,0.14,0.14,0.15,69.46,0.96,9.23,73.32,0.14,56.65,2.48,0.41,0.69,0.55,0.4,4.55,0.375,1.65,0.96,5.1,0.41,9.23,13.5
327,26,0,0,1,0.0,0.06,0.15,54.34,1.02,4.98,57.73,0.26,46.37,1.79,0.13,1.08,0.96,0.375,4.59,0.341,1.98,1.66,7.53,0.89,9.44,7.0
328,33,0,0,1,0.03,0.03,0.1,34.27,1.32,4.13,36.08,0.0,19.91,2.0,0.16,1.36,1.19,0.381,5.71,0.312,1.74,0.58,3.61,0.68,8.87,1.5
329,33,0,0,1,0.04,0.0,0.05,61.22,0.12,4.45,66.95,0.12,53.6,0.41,0.0,0.66,0.45,0.5,2.23,0.38,0.95,0.21,4.04,0.16,8.49,1.5
330,31,0,1,0,0.0,0.0,0.18,24.11,0.28,2.66,31.26,0.0,18.64,0.84,0.14,0.56,0.42,0.25,4.21,0.28,1.82,0.28,1.96,0.56,9.53,1.8
331,29,0,0,1,0.04,0.0,0.11,41.06,0.39,3.63,48.11,0.0,33.5,0.83,0.04,1.09,1.05,0.42100000000000004,4.5,0.32899999999999996,1.92,0.57,3.11,0.66,8.22,5.0
332,21,1,0,0,0.14,0.14,0.24,21.58,0.56,0.71,27.08,0.0,22.43,1.83,0.14,0.42,0.0,0.0,3.67,0.222,1.41,2.26,3.81,1.97,4.51,4.0
333,27,0,0,1,0.12,0.0,0.06,32.3,0.0,1.35,35.43,0.0,27.62,0.0,0.0,0.49,0.31,0.35700000000000004,3.32,0.37,1.35,0.12,1.17,0.0,5.54,1.5
334,29,0,0,1,0.05,0.11,0.15,63.6,1.1,2.94,64.44,0.11,49.33,2.1,0.31,1.52,1.21,0.535,4.51,0.313,2.36,0.58,5.2,0.79,8.66,25.0
335,25,0,1,0,0.0,0.13,0.2,61.2,1.64,6.43,67.24,0.39,54.97,3.08,0.33,1.71,0.98,0.313,4.99,0.281,1.77,1.77,9.05,1.51,10.23,20.0
336,23,1,0,0,0.11,0.11,0.29,20.41,0.68,1.02,27.29,0.11,20.19,2.37,0.34,1.47,0.45,0.33299999999999996,3.38,0.21600000000000005,1.24,2.14,4.06,2.03,6.77,1.5
337,31,0,1,0,0.0,0.0,0.05,37.19,0.29,4.47,44.64,0.04,30.65,0.98,0.0,1.09,0.73,0.33899999999999997,4.32,0.316,1.23,0.29,2.22,0.54,11.08,3.0
338,23,1,0,0,0.05,0.16,0.19,13.86,0.63,0.58,16.86,0.05,13.44,1.53,0.32,0.26,0.0,0.0,2.95,0.18,0.42,1.9,3.32,2.21,3.53,1.5
339,23,0,1,0,0.22,0.27,0.47,40.31,1.35,4.26,50.31,0.31,38.39,3.59,0.45,1.03,0.22,0.16699999999999998,6.28,0.32899999999999996,0.99,1.08,5.83,2.29,9.6,50.0
